forecast_horizon_days,horizon_label,evaluated_dates,feature_count,average_rank_ic,average_top_5_hit_rate,average_top_5_actual_return,average_selected_count,average_after_cost_return,return_volatility,diagnostic_sharpe,max_active_drawdown,average_turnover,maximum_turnover,final_cumulative_after_cost_active_return
1,forward_relative_return_1d,1611,51,0.021732592380548105,0.46368715083798884,0.000739068309255197,5.0,-0.000309775795602605,0.006626786704893647,-0.046746003666278645,-0.7408697195509024,0.39018835209363484,0.4,-0.4990488067157966
5,forward_relative_return_5d,1599,51,0.018626411035015614,0.46091307066916826,0.0012591808535808262,5.0,0.0003773088238028696,0.01984456244726592,0.019013209528076707,-1.3286463411827452,0.35924823012563945,0.4,0.6033168092607887
10,forward_relative_return_10d,1584,51,0.03694898163676033,0.4763888888888889,0.0033109150344343492,5.0,0.0018299687106323353,0.027670476623232625,0.06613434006033206,-2.228614362056683,0.34258063634736935,0.4,2.898670437641619
