ablation_name,evaluated_dates,feature_count,average_rank_ic,average_top_5_hit_rate,average_top_5_actual_return,average_selected_count,average_after_cost_return,return_volatility,diagnostic_sharpe,max_active_drawdown,average_turnover,maximum_turnover,final_cumulative_after_cost_active_return
without_volume_liquidity,1599,40,0.021964130677308805,0.4735459662288931,0.0018449496278014116,5.0,0.0006662103116735652,0.019731098596872828,0.03376448140496103,-1.325874679007691,0.3632778378942186,0.4,1.065270288366031
all_features,1599,51,0.018626411035015614,0.46091307066916826,0.0012591808535808262,5.0,0.0003773088238028696,0.01984456244726592,0.019013209528076707,-1.3286463411827452,0.35924823012563945,0.4,0.6033168092607887
without_risk,1599,49,0.018398972324663077,0.46128830519074415,0.0013141323734543959,5.0,0.00028930212880950675,0.018901788198223773,0.015305542828836314,-1.1870028116256381,0.3646602553401056,0.4,0.46259410396640144
without_herding,1599,41,0.017575815160245638,0.45928705440900564,0.0011971033737812112,5.0,0.0003653458427515068,0.01974276551599442,0.018505302231114747,-1.1817599985971612,0.35880873007523695,0.4,0.5841880025596597
without_price_limit,1599,36,0.011299222065502665,0.4531582238899312,0.0006040743263729545,5.0,-0.00022031294665787637,0.018463080099337937,-0.011932621505865455,-1.5833136978893207,0.36100453008440403,0.4,-0.35228040170594466
