model_family,model_name,evaluated_dates,average_rank_ic,average_top5_hit_rate,average_top5_realized_return_per_5d_period,return_volatility,diagnostic_sharpe,max_drawdown_from_top5_return_sum,final_cumulative_top5_return_sum,average_selected_count,comparison_note
classification,classification,1611,0.01836588376560736,0.19639975170701426,0.0018409408981495126,0.022592916359360057,0.0814831015557151,-0.7305527596109056,2.9657557869188667,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
tree,random_forest,1611,0.019392766668050204,0.2042209807572936,0.0018778357184982004,0.024202465951964732,0.07758861110372761,-1.1884017003621383,3.025193342500599,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
linear,ridge,1611,0.02354465305493774,0.19577901924270638,0.001423501326980878,0.023554373905445097,0.060434691777216165,-1.1958392102580158,2.293260637766191,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
tree,gradient_boosting,1611,0.018369893029590852,0.1980136561142148,0.0012313419946352177,0.022684143634937586,0.05428205774269273,-1.2802512627030445,1.9836919533573383,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
linear,elastic_net,1611,0.017068894568802586,0.19428926132836746,0.0010116465559870762,0.023639095197704803,0.04279548550933118,-1.0685504440023175,1.6297626016951794,5.0,"Equal-weight top-5 by model score; diagnostic only, not optimizer/backtest execution."
